test_row_id,length_group,article_tokens,article_preview,article,reference,lead3_prediction,finetuned_bart_prediction,lead3_fluency_1to5,lead3_factual_consistency_1to5,lead3_coverage_1to5,lead3_conciseness_1to5,lead3_notes,bart_fluency_1to5,bart_factual_consistency_1to5,bart_coverage_1to5,bart_conciseness_1to5,bart_notes,preferred_summary,key_error_type
1137,<=512 tokens,504,"Elena Udrea, pictured, is accused of taking bribes and abusing her position in government . A glamorous Romanian politician who finished fourth in the country's presidential election has been charged with accepting bribes and abusing her power while a government minister by anti-corruption police. Elena Udrea, 41, was investigated over claims during her time as the country's tourism minister that she had accepted bribes worth an estimated £1.3 million. She was indicted along with seven other people, including the country's former economy minister Ion Ariton, who was charged with abuse of power. Prosecutors in Bucharest revealed details of the investigation. Romania is regarded as one of the most corrupt countries in the European Union. Udrea, who is a lawyer, has strenuously denied the claims against her. She is a close ally of former president Traian Basescu. Prosecutors allege that Udr...","Elena Udrea, pictured, is accused of taking bribes and abusing her position in government . A glamorous Romanian politician who finished fourth in the country's presidential election has been charged with accepting bribes and abusing her power while a government minister by anti-corruption police. Elena Udrea, 41, was investigated over claims during her time as the country's tourism minister that she had accepted bribes worth an estimated £1.3 million. She was indicted along with seven other people, including the country's former economy minister Ion Ariton, who was charged with abuse of power. Prosecutors in Bucharest revealed details of the investigation. Romania is regarded as one of the most corrupt countries in the European Union. Udrea, who is a lawyer, has strenuously denied the claims against her. She is a close ally of former president Traian Basescu. Prosecutors allege that Udrea and a number of her associates sought money from private firms in exchange for guarantees that they would be paid promptly for public projects. The centrist politician is accused of accepting cash in Romanian leu as well as euros worth an estimated £1.3 million. She claims the charges against her are politically motivated and accuses the anti-corruption prosecution agency of being linked to the secret service. Recent corruption cases have shown mayors, city councillors as well as other politicians requiring a kick-back to secure lucrative contracts. Prosecutors claim that Udrea used some of the cash to finance the political party she was involved with. It is also claimed that Udrea used 8.1 million leu, worth £1.3 million of money belonging to a regional development ministry to fund a private boxing event under the pretext of buying tourism advertising for Romania. Ariton, who is now a senator, is accused of convincing ten state-owned companies to sponsor the private event for 1.7 million leu, worth £276,000. Under Romanian law, state-owned industries are not allowed to sponsor private events. Ariton also denies any wrongdoing. Udrea was the minister of tourism between 2008 and 2009 and also the minister of regional development and tourism between 2009 and 2012. In her last position, she administered a yearly budget of £2.37 billion. One-time Romanian presidential candidate Elena Udrea, pictured, is accused of taking bribes . The 41-year-old  former tourism minister is also accused of abusing her position in government . Udrea, centre, has strongly denied any wrongdoing and accuses anti-corruption officials of being biased .","Elena Udrea, 41, is accused of abusing her position in government .
Udrea was a member of the Romanian government for four years until 2012 .
Prosecutors claim she accepted bribes worth an estimated £1.3 million .
The former presidential candidate strongly denies all of the allegations .","Elena Udrea, pictured, is accused of taking bribes and abusing her position in government . A glamorous Romanian politician who finished fourth in the country's presidential election has been charged with accepting bribes and abusing her power while a government minister by anti-corruption police. Elena Udrea, 41, was investigated over claims during her time as the country's tourism minister that she had accepted bribes worth an estimated £1.3 million.","Elena Udrea, 41, was investigated over claims during her time as the country's tourism minister that she had accepted bribes worth an estimated £1.3 million .
She was indicted along with seven other people, including country's former economy minister Ion Ariton, who was charged with abuse of power .
Prosecutors in Bucharest revealed details of the investigation .",,,,,,,,,,,,
1415,<=512 tokens,406,"A man was horrified after finding a five inch piece of TIMBER in his frozen curry. John Foran’s wife Nita was preparing a chicken tikka biryani stir-fry on Tuesday April 7 when he found the splinter-covered shard. The £2 ready meal was bought from an Iceland Foods store in Spytty Retail Park near the couple’s home in Newport, South Wales, within the last two weeks. John Foran was horrified to find a five inch piece of timber in his Iceland chicken tikka biryani curry . John, 59, said: 'When it fell out of the bag I couldn’t believe it. 'As Nita was putting it in the stir fry dish, she thought it was just a big bit of veg. 'It was a piece of wood with splinters coming off it. 'I just don’t understand how it got inside.' Iceland  said they are carrying out a thorough investigation into how the timber shard came to be in the curry . Shocked John immediately contacted Iceland who are current...","A man was horrified after finding a five inch piece of TIMBER in his frozen curry. John Foran’s wife Nita was preparing a chicken tikka biryani stir-fry on Tuesday April 7 when he found the splinter-covered shard. The £2 ready meal was bought from an Iceland Foods store in Spytty Retail Park near the couple’s home in Newport, South Wales, within the last two weeks. John Foran was horrified to find a five inch piece of timber in his Iceland chicken tikka biryani curry . John, 59, said: 'When it fell out of the bag I couldn’t believe it. 'As Nita was putting it in the stir fry dish, she thought it was just a big bit of veg. 'It was a piece of wood with splinters coming off it. 'I just don’t understand how it got inside.' Iceland  said they are carrying out a thorough investigation into how the timber shard came to be in the curry . Shocked John immediately contacted Iceland who are currently investigating the matter. He said: “It may only have been £2 but that’s beside the point. 'Things like this should not be in your food. 'I contacted Iceland and all they said was take it back to the shop and that they’ll be in touch. 'But I want people to know what could be hiding in their meal.” An Iceland spokeswoman said: ’Please be assured that we take all complaints extremely seriously. We can confirm that Mr Foran has now been in touch with our customer care department regarding the foreign body found in his ready meal. 'Mr Foran is returning the item to the store and the foreign body will be collected by our supplier in order for them to carry out a thorough investigation. As soon as we have the results of this investigation we will get back in touch with Mr Foran.’","Man left horrified after discovering TIMBER in frozen Iceland curry .
Wife discovered splinter-covered shard whilst preparing the biryani .
Iceland are now conducting an investigation into how it happened .","A man was horrified after finding a five inch piece of TIMBER in his frozen curry. John Foran’s wife Nita was preparing a chicken tikka biryani stir-fry on Tuesday April 7 when he found the splinter-covered shard. The £2 ready meal was bought from an Iceland Foods store in Spytty Retail Park near the couple’s home in Newport, South Wales, within the last two weeks.","John Foran was preparing a chicken tikka biryani stir-fry on Tuesday April 7 .
The £2 ready meal was bought from an Iceland Foods store in Spytty Retail Park near the couple’s home in Newport, South Wales .
Iceland said they are carrying out a thorough investigation into how the timber shard came to be in the curry .",,,,,,,,,,,,
1016,<=512 tokens,356,"Hundreds of morning commuters in Boston were delayed today after a truck crashed on an elevated highway over subway and rail tracks. The box truck collided with a car on Interstate 93 southbound in the city's Dorchester neighborhood at about 6am, and both drivers were taken to hospital with non-life-threatening injuries. As officials didn't want to risk running trains under the over-hanging truck, replacement shuttle buses were run for southbound passengers with long queues forming. Scroll down for video . Aerieal shot: Hundreds of morning commuters in Boston were delayed today after a truck crashed on an elevated highway over subway and rail tracks . Overhanging: The box truck collided with a car on Interstate 93 southbound in the city's Dorchester neighborhood at about 6am, and both drivers were taken to hospital with non-life-threatening injuries . Carol Hullum, who lives near the cra...","Hundreds of morning commuters in Boston were delayed today after a truck crashed on an elevated highway over subway and rail tracks. The box truck collided with a car on Interstate 93 southbound in the city's Dorchester neighborhood at about 6am, and both drivers were taken to hospital with non-life-threatening injuries. As officials didn't want to risk running trains under the over-hanging truck, replacement shuttle buses were run for southbound passengers with long queues forming. Scroll down for video . Aerieal shot: Hundreds of morning commuters in Boston were delayed today after a truck crashed on an elevated highway over subway and rail tracks . Overhanging: The box truck collided with a car on Interstate 93 southbound in the city's Dorchester neighborhood at about 6am, and both drivers were taken to hospital with non-life-threatening injuries . Carol Hullum, who lives near the crash site, said the collision caused headaches for locals trying to get to work. 'I was just thinking too that the commuter rail is finally on time again, and now the poor people got on the train and now they're going to be delayed again,' she told WHDH News. On the highway there were also massive delays. Commuter woes: As officials didn't want to risk running trains under the over-hanging truck, replacement shuttle buses were run for southbound passengers with long lines forming . Even after the truck was towed by crane at about 8:30am, traffic remained backed up in both directions. The truck driver was identified as a 57-year-old Woburn man and the car driver was a 42-year-old Attleboro man. However, no names were released. State troopers are still investigating the incident and no charges have been filed.","The box truck collided with a car on Interstate 93 southbound in the city's Dorchester neighborhood at about 6am .
Both drivers were taken to hospital with non-life-threatening injuries .
As officials didn't want to risk running trains under the over-hanging truck, replacement shuttle buses were run for southbound passengers .
On the highway there were also massive delays .","Hundreds of morning commuters in Boston were delayed today after a truck crashed on an elevated highway over subway and rail tracks. The box truck collided with a car on Interstate 93 southbound in the city's Dorchester neighborhood at about 6am, and both drivers were taken to hospital with non-life-threatening injuries. As officials didn't want to risk running trains under the over-hanging truck, replacement shuttle buses were run for southbound passengers with long queues forming.","The box truck collided with a car on Interstate 93 southbound in the city's Dorchester neighborhood at about 6am, and both drivers were taken to hospital with non-life-threatening injuries .
As officials didn't want to risk running trains under the over-hanging truck, replacement shuttle buses were run for southbound passengers with long queues forming .",,,,,,,,,,,,
615,<=512 tokens,198,"(CNN)They're not gonna take it anymore. Really. Twisted Sister says that its 2016 tour will be its last, according to a press release. Next year marks the band's 40th anniversary, and to celebrate, the tour is being titled ""Forty and F*ck It."" ""It's official: Farewell,"" Twisted Sister singer Dee Snider posted on Facebook. Snider also noted that the band will play with a new drummer, Mike Portnoy of Adrenaline Mob. Portnoy replaces A.J. Pero, who died March 20. The band will also perform two shows in Pero's honor: one at Las Vegas' Hard Rock Hotel and Casino, the other at the Starland Ballroom in Sayreville, New Jersey. The latter is in support of Pero's family. Twisted Sister's biggest hit, ""We're Not Gonna Take It,"" hit the Top Forty in 1984 and was featured in a popular video.","(CNN)They're not gonna take it anymore. Really. Twisted Sister says that its 2016 tour will be its last, according to a press release. Next year marks the band's 40th anniversary, and to celebrate, the tour is being titled ""Forty and F*ck It."" ""It's official: Farewell,"" Twisted Sister singer Dee Snider posted on Facebook. Snider also noted that the band will play with a new drummer, Mike Portnoy of Adrenaline Mob. Portnoy replaces A.J. Pero, who died March 20. The band will also perform two shows in Pero's honor: one at Las Vegas' Hard Rock Hotel and Casino, the other at the Starland Ballroom in Sayreville, New Jersey. The latter is in support of Pero's family. Twisted Sister's biggest hit, ""We're Not Gonna Take It,"" hit the Top Forty in 1984 and was featured in a popular video.","Twisted Sister's 2016 tour will be its last .
Band will celebrate 40 years in 2016 .
Twisted Sister drummer A.J. Pero died in March .","(CNN)They're not gonna take it anymore. Really. Twisted Sister says that its 2016 tour will be its last, according to a press release.","Twisted Sister will play two shows in honor of A.J. Pero .
The band's biggest hit, ""We're Not Gonna Take It,"" hit the Top Forty in 1984 .",,,,,,,,,,,,
573,<=512 tokens,486,"A drug dealer who was facing a dilemma over how to transport $30,000 worth of meth decided to stuff into an Easter bunny and stick it in the mail. It was sniffed out by a police dog in Tulsa County, Oklahoma, and the intended recipient, Carolyn Ross, has now been arrested by police. When cops sliced open the bunny they found two condoms filled with the drugs. Scroll down for video... Easter surprise:  Tahlequah police said a package intercepted in Tulsa County contained an Easter bunny stuffed with $30,000 worth of meth. Jumpin' jack! Police say they got a tip and intercepted a package headed to a home in Tahlequah . On the hop: The investigation continues into whether there is more to this bunny-bound drug smuggling ring . Police were baffled over the decision to use a children's toy to smuggle the stuff: . Tahlequah Police Chief Nate King said: 'The Easter Bunny I thought was a strange...","A drug dealer who was facing a dilemma over how to transport $30,000 worth of meth decided to stuff into an Easter bunny and stick it in the mail. It was sniffed out by a police dog in Tulsa County, Oklahoma, and the intended recipient, Carolyn Ross, has now been arrested by police. When cops sliced open the bunny they found two condoms filled with the drugs. Scroll down for video... Easter surprise:  Tahlequah police said a package intercepted in Tulsa County contained an Easter bunny stuffed with $30,000 worth of meth. Jumpin' jack! Police say they got a tip and intercepted a package headed to a home in Tahlequah . On the hop: The investigation continues into whether there is more to this bunny-bound drug smuggling ring . Police were baffled over the decision to use a children's toy to smuggle the stuff: . Tahlequah Police Chief Nate King said: 'The Easter Bunny I thought was a strange touch. Delivery: Police arrested Carolyn Ross who was looking out for the package to arrive . 'There were two condoms and meth stuffed inside the rabbit. It's not the prize egg that we want in Tahlequah.' The pound of meth has a street value of around $30,000. 'We've intercepted narcotics in the mail before,' said  Chief Nate King. Tahlequah police were alerted by Tulsa County deputies that the package was to be delivered to Ross's home. 'We didn't know who at the home would receive the meth or if they knew what they were receiving,' King said. One officer went to Ross's home and posed as a delivery man. 'We got a plain white van, drove to the residence and served an anticipatory warrant on the resident,' King said to WFTV. Officials said that Ross confessed to knowing the drugs were in the mail. She said she was supposed to redistribute them to someone else. Ross is being held at the Cherokee Detention Center on $75,000 bond. Discovery: A hole was cut into the bottom of the rabbit and police found quite the surprise waiting inside. There were two condoms and meth stuffed inside the rabbit . Pricey stuff: The pound of meth has a street value of around $30,000 . Strange find: 'The Easter Bunny I thought was a strange touch,' Tahlequah Police Chief Nate King said .","Police say they found the drugs stuffed in an furry Easter bunny .
Cops say they got a tip and intercepted a package headed to a home .
They found a pound of meth inside the bunny worth with an estimated street value of $30,000 .
Resident Carolyn Ross admitted to police she was expecting the package .
She's being held on a $75,000 bond as the investigation continues .","A drug dealer who was facing a dilemma over how to transport $30,000 worth of meth decided to stuff into an Easter bunny and stick it in the mail. It was sniffed out by a police dog in Tulsa County, Oklahoma, and the intended recipient, Carolyn Ross, has now been arrested by police. When cops sliced open the bunny they found two condoms filled with the drugs.","A package was intercepted in Tulsa County, Oklahoma, and the intended recipient, Carolyn Ross, has now been arrested by police .
When cops sliced open the bunny they found two condoms filled with the drugs .
The pound of meth has a street value of around $30,000 .",,,,,,,,,,,,
355,<=512 tokens,263,"A host of international footballers past and present took to social media on Thursday to celebrate St George's Day. England's national saint's day falls on April 23, and a number of the country's finest footballers were quick to show their pride with a series of photographs and videos. Recently called-up Spurs striker Harry Kane posted a picture of his younger self, posing with his brother Charlie, his face painted with the St George's cross. England and Tottenham star Harry Kane (right) posted a picture to Instagram reminiscing on St George's Day . Former national team captain Rio Ferdinand posted a picture to Instagram from his time in the white of England. Alongside the caption 'Happy St George's Day', Ferdinand reminisced on a goal celebration from May 2003, after England had scored against South Africa in Durban. Elsewhere, Gary Cahill - current England centre-back - posted a 'Proud...","A host of international footballers past and present took to social media on Thursday to celebrate St George's Day. England's national saint's day falls on April 23, and a number of the country's finest footballers were quick to show their pride with a series of photographs and videos. Recently called-up Spurs striker Harry Kane posted a picture of his younger self, posing with his brother Charlie, his face painted with the St George's cross. England and Tottenham star Harry Kane (right) posted a picture to Instagram reminiscing on St George's Day . Former national team captain Rio Ferdinand posted a picture to Instagram from his time in the white of England. Alongside the caption 'Happy St George's Day', Ferdinand reminisced on a goal celebration from May 2003, after England had scored against South Africa in Durban. Elsewhere, Gary Cahill - current England centre-back - posted a 'Proud to be English' video in association with England Rugby, in which a number of sports star discuss what it means to represent their country. Nathaniel Clyne, Charlie Austin and Peter Crouch all posted messages of celebration to their Twitter pages too, wishing their followers a happy St George's Day. Rio Ferdinand also posted a picture of his time in an England shirt to celebrate the country's national day .","April 23 is St George's Day - the national saint's day of England .
England footballers past and present took to social media to celebrate .
Harry Kane posted a picture of his younger self with England face paint .
Rio Ferdinand and Gary Cahill were among the other players celebrating .","A host of international footballers past and present took to social media on Thursday to celebrate St George's Day. England's national saint's day falls on April 23, and a number of the country's finest footballers were quick to show their pride with a series of photographs and videos. Recently called-up Spurs striker Harry Kane posted a picture of his younger self, posing with his brother Charlie, his face painted with the St George's cross.","England's national saint's day falls on April 23 .
Harry Kane posted a picture of his younger self, posing with his brother Charlie, his face painted with the St George's cross .",,,,,,,,,,,,
525,<=512 tokens,491,"A scientist has warned Britain is facing a collapse in society similar to ancient Rome - because we've lived too peacefully for too long. Australian historian Dr Jim Penman claims Britons today have lost the drive for innovation that epitomised the Victorian era as we enjoy a more comfortable standard of living. He has drawn parallels between modern-day Britain and 100BC in Rome - when the city was at its most powerful as it captured more land overseas and greater wealth poured into the centre. Historian Dr Jim Penman has drawn a parallel between the Roman Empire in 100BC - when Julius Caesar, pictured, was ruler - and Britan today, warning this country is heading for a similar collapse in society . Dr Jim Penman (left) has suggested Britons have lost the biological drive for innovation that helped huge social, economic and industrial changes during the Victorian era, ruled over by Queen...","A scientist has warned Britain is facing a collapse in society similar to ancient Rome - because we've lived too peacefully for too long. Australian historian Dr Jim Penman claims Britons today have lost the drive for innovation that epitomised the Victorian era as we enjoy a more comfortable standard of living. He has drawn parallels between modern-day Britain and 100BC in Rome - when the city was at its most powerful as it captured more land overseas and greater wealth poured into the centre. Historian Dr Jim Penman has drawn a parallel between the Roman Empire in 100BC - when Julius Caesar, pictured, was ruler - and Britan today, warning this country is heading for a similar collapse in society . Dr Jim Penman (left) has suggested Britons have lost the biological drive for innovation that helped huge social, economic and industrial changes during the Victorian era, ruled over by Queen Victoria (right) However over subsequent centuries there was a rise in social divisions, inequality and political tensions - which resulted in its demise. Making the comparison Dr Penman said: 'It was a time when democracy was moving towards despotism and in Britain we are now see that politics is becoming much more about individuals rather than political parties. The two-party system has started to break down',The Sunday Telegraph reports. 'We live in a golden age where there have been no major wars in Europe for three quarters of a century. But the economy is stagnating and we're having fewer children. 'And once European countries can no longer defend themselves, the end of national independence cannot be long delayed.' Dr Penman, of the RMIT University in Melbourne, made the claims in his book 'Biohistory: Decline and Fall of the West', and adds that Christianity helped drive social change in Britain which transformed the roles of women and children . Civilisations move in 'cycles' dependent on factors such as food supply, religion and conflict, while epigenetics - a field of study within DNA - explains how people's attitudes and temperament change over time and thus shape society, he argues. 'The First World War had an epigenetic effect in that mothers made anxious by the war gave birth to an unusually aggressive generation which was the main cause of the Second World War', he writes. 'But now we are becoming a lot less warlike and much more reluctant to fight. People no longer want to join the Army, or become engineers. People would rather do arts degrees.'","Dr Penman argues British people have lived too peacefully to innovate .
Rising inequality and division will lead to a collapse in society, he warns .
Adaption of genes means we are less aggressive or likely to go to war .",A scientist has warned Britain is facing a collapse in society similar to ancient Rome - because we've lived too peacefully for too long. Australian historian Dr Jim Penman claims Britons today have lost the drive for innovation that epitomised the Victorian era as we enjoy a more comfortable standard of living. He has drawn parallels between modern-day Britain and 100BC in Rome - when the city was at its most powerful as it captured more land overseas and greater wealth poured into the centre.,"Dr Jim Penman claims Britons have lost the drive for innovation that epitomised the Victorian era .
He has drawn parallels between modern-day Britain and 100BC in Rome - when the city was at its most powerful as it captured more land overseas and greater wealth poured into the centre .
Historian Dr Penman has drawn a parallel between the Roman Empire in 100BC - when Julius Caesar, pictured, was ruler - and Britan today, warning this country is heading for a similar collapse in society .",,,,,,,,,,,,
242,<=512 tokens,347,"Stuart Pearce believes Manchester City manager Manuel Pellegrini deserves more time to turnaround the club’s dwindling fortunes. City’s challenge for the title has capitulated in recent weeks and Pellegrini’s men now face a battle to even finish in the top four. A derby day thumping at the hands of rivals Manchester United only compounded their misery, but Pearce believes City should stick with the 61-year-old. Stuart Pearce believes Manuel Pellegrini should be given more time to turn Manchester City around . The look of dejection on the faces of the Manchester City players has been a familiar sign this season . Pearce told talkSPORT: ‘The club is at a stature now where they look to continually be in the Champions League and win Premier Leagues. The club will have a good look at themselves in the summer, but I’m not a big favour of turning managers over quickly. “I hope the manager stays...","Stuart Pearce believes Manchester City manager Manuel Pellegrini deserves more time to turnaround the club’s dwindling fortunes. City’s challenge for the title has capitulated in recent weeks and Pellegrini’s men now face a battle to even finish in the top four. A derby day thumping at the hands of rivals Manchester United only compounded their misery, but Pearce believes City should stick with the 61-year-old. Stuart Pearce believes Manuel Pellegrini should be given more time to turn Manchester City around . The look of dejection on the faces of the Manchester City players has been a familiar sign this season . Pearce told talkSPORT: ‘The club is at a stature now where they look to continually be in the Champions League and win Premier Leagues. The club will have a good look at themselves in the summer, but I’m not a big favour of turning managers over quickly. “I hope the manager stays in place. He has been around the block long enough to realise the squad needs freshening up drastically this summer.” Yaya Toure has had a largely ineffective season for current champions Manchester City this season . Toure and Fernandinho  look dejected during the Premier League defeat to Manchester United  at Old Trafford . Pearce, who spent time at the club as both a manager and a player, blamed City’s poor run of form on the fading influence of Ivorian Yaya Toure. ‘Where City have suffered historically is when Toure has either lost form or been away on African Nations tours,"" said Pearce. Sergio Aguero has been a rare shining light in Manchester City's under performing squad this season .","Stuart Pearce feels Manuel Pellegrini deserves more time at the Etihad .
Pellegrini is under pressure following their recent league capitulation .
The Citizens were smashed by rivals Manchester United on Sunday .
Manchester City now sit fourth in the league 12 points adrift of Chelsea .","Stuart Pearce believes Manchester City manager Manuel Pellegrini deserves more time to turnaround the club’s dwindling fortunes. City’s challenge for the title has capitulated in recent weeks and Pellegrini’s men now face a battle to even finish in the top four. A derby day thumping at the hands of rivals Manchester United only compounded their misery, but Pearce believes City should stick with the 61-year-old.","Stuart Pearce believes Manuel Pellegrini should be given more time to turnaround the club’s fortunes .
The Spaniard has had a largely ineffective season for current champions Manchester City .
Pearce believes City should stick with the 61-year-old .",,,,,,,,,,,,
306,<=512 tokens,329,"Javier Hernandez would have been in no doubt how important his decisive goal for Real Madrid was in the Champions League quarter-final against city rivals Atletico Madrid after the entrance the squad made to the Santiago Bernabeu. French defender Raphael Varane uploaded an astonishing video to Twitter of the fire-hot arrival Madrid's players were given from their supporters, who mobbed the team coach and banged on the windows in support and anticipation. 'Live from the bus before the match! A huge thank you for your support,' Varane wrote with the video. VIDEO - Scroll down to see Real Madrid's welcoming from their fans . Real Madrid defender Raphael Varane captured the team's entrance to the Santiago Bernabeu on Wednesday . Fans greeted the team coach as Real arrived for their Champions League second leg with Atletico Madrid . Supporters lit flares and banged on the windows to encourage...","Javier Hernandez would have been in no doubt how important his decisive goal for Real Madrid was in the Champions League quarter-final against city rivals Atletico Madrid after the entrance the squad made to the Santiago Bernabeu. French defender Raphael Varane uploaded an astonishing video to Twitter of the fire-hot arrival Madrid's players were given from their supporters, who mobbed the team coach and banged on the windows in support and anticipation. 'Live from the bus before the match! A huge thank you for your support,' Varane wrote with the video. VIDEO - Scroll down to see Real Madrid's welcoming from their fans . Real Madrid defender Raphael Varane captured the team's entrance to the Santiago Bernabeu on Wednesday . Fans greeted the team coach as Real arrived for their Champions League second leg with Atletico Madrid . Supporters lit flares and banged on the windows to encourage their team against Atletico . Real defender Varane filmed the footage of the supporters as the team arrived to play Atletico . Javier Hernandez scored the winning goal for Madrid in the 88th minute against Atletico to win the tie . The atmosphere inside the Santiago Bernabeu meant the iconic stadium resembled a furnace upon kick-off, but Atletico provided stubborn resistance to Real. It wasn't until Hernandez struck in the 88th minute, converting a pass from Cristiano Ronaldo after the Portuguese star drove through Atletico's defence, that Madrid sealed a 1-0 aggregate triumph. Carlo Ancelotti's side could face Spanish rivals Barcelona, Serie A's runaway leaders Juventus or Pep Guardiola's Bayern Munich in the semi-finals. The draw takes place on Friday.","Real Madrid eliminated Atletico Madrid from the Champions League .
Javier Hernandez secured victory with 88th minute strike for Real Madrid .
Raphael Varane filmed fans as Madrid arrived at the Santiago Bernabeu .
READ: Barcelona vs Real Madrid is the dream Champions League final .
Who will win the Champions League? Our reporters have their say...","Javier Hernandez would have been in no doubt how important his decisive goal for Real Madrid was in the Champions League quarter-final against city rivals Atletico Madrid after the entrance the squad made to the Santiago Bernabeu. French defender Raphael Varane uploaded an astonishing video to Twitter of the fire-hot arrival Madrid's players were given from their supporters, who mobbed the team coach and banged on the windows in support and anticipation. 'Live from the bus before the match!","Real Madrid face Atletico Madrid in the Champions League quarter-final on Friday .
Javier Hernandez scored the winning goal in the 88th minute to seal a 1-0 aggregate victory .
The draw takes place on Friday at the Bernabeu .",,,,,,,,,,,,
1439,<=512 tokens,367,"(CNN)Malala Yousafzai's stellar career has included a Nobel Peace Prize. Last week, she made it into outer space. A NASA astrophysicist has named an asteroid after the teenage education activist from Pakistan, who was gravely wounded by a Pakistani Taliban gunman for promoting the right of girls' to go to school. It took a meticulous medical response to save her life more than two years ago. But Malala recovered with no serious neurological damage to become a powerhouse for her cause. After reading her story, scientist Amy Mainzer, who also consults for PBS on a children's educational science show, decided Malala deserved to be immortalized. So, she attached her name to the heavens. Thousands of asteroids swarm through the solar system mainly between Mars and Jupiter. Mainzer, working at the Jet Propulsion Laboratory, discovered Asteroid 316201 in June 2010, which gave her the right to n...","(CNN)Malala Yousafzai's stellar career has included a Nobel Peace Prize. Last week, she made it into outer space. A NASA astrophysicist has named an asteroid after the teenage education activist from Pakistan, who was gravely wounded by a Pakistani Taliban gunman for promoting the right of girls' to go to school. It took a meticulous medical response to save her life more than two years ago. But Malala recovered with no serious neurological damage to become a powerhouse for her cause. After reading her story, scientist Amy Mainzer, who also consults for PBS on a children's educational science show, decided Malala deserved to be immortalized. So, she attached her name to the heavens. Thousands of asteroids swarm through the solar system mainly between Mars and Jupiter. Mainzer, working at the Jet Propulsion Laboratory, discovered Asteroid 316201 in June 2010, which gave her the right to name it. ""My postdoctoral fellow Dr. Carrie Nugent brought to my attention the fact that although many asteroids have been named, very few have been named to honor the contributions of women (and particularly women of color),"" Mainzer wrote in a note to Malala. Mainzer gave it the name 316201 Malala, or 2010 ML48. Malala's asteroid circles the sun between Mars and Jupiter every five and half years, Mainzer said. ""It is about 4 kilometers in diameter, and its surface is very dark, the color of printer toner."" As a scientist, her support for Malala's work is logical. When girls around the world also get educations, it increases human potential. ""We desperately need the brainpower of all smart people to solve some of humanity's most difficult problems, and we can't afford to reject half the population's,"" Mainzer wrote.","Astrophysicist Amy Mainzer says she was was touched by Malala's story of determination .
Mainzer also works on educating children about science .","(CNN)Malala Yousafzai's stellar career has included a Nobel Peace Prize. Last week, she made it into outer space. A NASA astrophysicist has named an asteroid after the teenage education activist from Pakistan, who was gravely wounded by a Pakistani Taliban gunman for promoting the right of girls' to go to school.","Malala Yousafzai's stellar career has included a Nobel Peace Prize .
Last week, she made it into outer space .
A NASA astrophysicist has named an asteroid after the teenage education activist .
The asteroid circles the sun between Mars and Jupiter every five and half years .",,,,,,,,,,,,
